normalization,sign_frac,metric,mean,std,n_groups,sem,rho_target,n_rho_targets,cv_definition
spectral_radius,0.0,MC,0.2656030068566216,0.033040839252430766,100,0.003304083925243077,1.05,1,within_selected_target_cv
spectral_radius,0.2,GR,0.5498601963437575,0.011027096218119536,100,0.0011027096218119536,1.05,1,within_selected_target_cv
spectral_radius,0.2,IPC,0.4231780467434902,0.044929055805315886,100,0.004492905580531588,1.05,1,within_selected_target_cv
spectral_radius,0.2,KR,0.3545521653463543,0.011414276817345593,100,0.0011414276817345594,1.05,1,within_selected_target_cv
spectral_radius,0.2,MC,0.36216949499266143,0.03000498627489844,100,0.0030004986274898443,1.05,1,within_selected_target_cv
spectral_radius,0.4,GR,0.4688201457806567,0.020813853516662314,100,0.0020813853516662316,1.05,1,within_selected_target_cv
spectral_radius,0.4,IPC,0.3078095060970592,0.028340364133972284,100,0.0028340364133972286,1.05,1,within_selected_target_cv
spectral_radius,0.4,KR,0.4655723132640929,0.01609877920951621,100,0.001609877920951621,1.05,1,within_selected_target_cv
spectral_radius,0.4,MC,0.4823071949143671,0.021113965437263613,100,0.0021113965437263614,1.05,1,within_selected_target_cv
spectral_radius,0.6,GR,0.4736317111066218,0.021584279156308984,100,0.0021584279156308984,1.05,1,within_selected_target_cv
spectral_radius,0.6,IPC,0.31082422841292145,0.026387806878278658,100,0.0026387806878278657,1.05,1,within_selected_target_cv
spectral_radius,0.6,KR,0.46752033332577286,0.014762708136354608,100,0.0014762708136354607,1.05,1,within_selected_target_cv
spectral_radius,0.6,MC,0.4841401439385543,0.020502449050883807,100,0.0020502449050883807,1.05,1,within_selected_target_cv
spectral_radius,0.8,GR,0.6084488308669335,0.01306355680918958,100,0.001306355680918958,1.05,1,within_selected_target_cv
spectral_radius,0.8,IPC,0.3788588308788738,0.03141722934411819,100,0.003141722934411819,1.05,1,within_selected_target_cv
spectral_radius,0.8,KR,0.4555478328769091,0.020329571437043087,100,0.0020329571437043086,1.05,1,within_selected_target_cv
spectral_radius,0.8,MC,0.3652492405479959,0.02790358852715603,100,0.002790358852715603,1.05,1,within_selected_target_cv
spectral_radius,1.0,GR,0.4938944856810544,0.019266321485120863,100,0.0019266321485120863,1.05,1,within_selected_target_cv
spectral_radius,1.0,IPC,0.25170010567176176,0.0284646261457857,100,0.00284646261457857,1.05,1,within_selected_target_cv
spectral_radius,1.0,KR,0.3330893813036228,0.02578406068174468,100,0.002578406068174468,1.05,1,within_selected_target_cv
spectral_radius,1.0,MC,0.2590867293057649,0.03094278939902203,100,0.0030942789399022027,1.05,1,within_selected_target_cv
